product_name, currentprice 
Acer Laptop Aspire 5 A515-54-76TA Intel Core i7 10th Gen 10510U (1.80 GHz) 12 GB Memory 512 GB SSD Intel UHD Graphics 15.6" Windows 10 Home 64-bit,699
Refurbished: HP Grade A Laptop ProBook 640 G2 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0" Windows 10 Pro 64-bit,379
ASUS ZenBook 15 Ultra-Slim Laptop 15.6" 4K UHD NanoEdge Bezel| Intel Core i7-10510U| 16GB RAM| 1TB PCIe SSD| GeForce GTX 1650 Max-Q| Innovative ScreenPad 2.0| Windows 10 Pro| UX534FTC-NH77| Royal Blue,1.499
Lenovo ThinkPad E495 20NE0002US 14" FHD Laptop Ryzen 5 3500U 8GB 256GB SSD W10P,669
Lenovo IdeaPad 130 Laptop| 15.6" HD Display| AMD A9-9425 Upto 3.70GHz| 8GB RAM| 512GB SSD| DVDRW| HDMI| Card Reader| Wi-Fi| Bluetooth| Windows 10 Pro,549
Newest Asus VivoBook Thin & Lightweight Laptop (16G DDR4/512G SSD+1TB HDD)|15.6" Full HD(1920x1080) WideView display| AMD Quad Core A12-9720P Processor| Wi-Fi |Fingerprint Reader|Windows 10 in S Mode,749
Lenovo ThinkPad E15 Notebook| 15.6" FHD Display| Intel Core i5-10210U Upto 4.2GHz| 16GB RAM| 256GB NVMe + 500GB HDD| HDMI| Wi-Fi| Bluetooth| Windows 10 Pro,879
HP 15 Notebook| 15.6" HD Touch Display| AMD Ryzen 7 3700U Upto 4.0GHz| 16GB RAM| 256GB NVMe SSD| Vega 10| HDMI| Card Reader| Wi-Fi| Bluetooth| Windows 10 Home,1.209
HP Laptop 250 G7 (5YN09UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Pro 64-bit,679
ASUS ZenBook Flip 14 Ultra Slim Convertible Laptop 14" Full HD WideView Touch| 8th-Gen Intel Core i7-8565U Processor| 16 GB LPDDR3| 512 GB NVMe PCIe SSD| GeForce MX150| Windows 10 - UX461FN-DH74T,1.299
Acer Spin 5 SP513-53N-56CR 2-in-1 Laptop Intel Core i5-8265U 1.60 GHz 13.3" Windows 10 Home 64-bit,687
ASUS ZenBook 14 Ultra-Slim Laptop 14" Full HD 4-Way NanoEdge Bezel| AMD R7 3700U CPU| 8 GB RAM| 512 GB PCIe SSD| NumberPad| Windows 10 - UM433DA-DH75| Icicle Silver,759
